MMM,3M Company,Industrials
AOS,A.O. Smith,Industrials
ABT,Abbott Laboratories,Health Care
ABBV,AbbVie,Health Care
ABMD,ABIOMED,Health Care
ACN,Accenture plc,Information Technology
ATVI,Activision Blizzard,Communication Services
ADBE,Adobe,Information Technology
AAP,Advance Auto Parts,Consumer Discretionary
AMD,Advanced Micro Devices,Information Technology
AES,AES,Utilities
AFL,AFLAC,Financials
A,Agilent Technologies,Health Care
APD,Air Products & Chemicals,Materials
AKAM,Akamai Technologies,Information Technology
ALK,Alaska Air Group,Industrials
ALB,Albemarle,Materials
ARE,Alexandria Real Estate Equities,Real Estate
ALXN,Alexion Pharmaceuticals,Health Care
ALGN,Align Technology,Health Care
ALLE,Allegion,Industrials
LNT,Alliant Energy,Utilities
ALL,Allstate,Financials
GOOGL,Alphabet (Class A),Communication Services
GOOG,Alphabet (Class C),Communication Services
MO,Altria Group,Consumer Staples
AMZN,Amazon,Consumer Discretionary
AMCR,Amcor plc,Materials
AEE,Ameren,Utilities
AAL,American Airlines Group,Industrials
AEP,American Electric Power,Utilities
AXP,American Express Co,Financials
AIG,American International Group,Financials
AMT,American Tower .,Real Estate
AWK,American Water Works Company,Utilities
AMP,Ameriprise Financial,Financials
ABC,AmerisourceBergen,Health Care
AME,AMETEK,Industrials
AMGN,Amgen,Health Care
APH,Amphenol,Information Technology
ADI,Analog Devices,Information Technology
ANSS,ANSYS,Information Technology
ANTM,Anthem,Health Care
AON,Aon plc,Financials
APA,Apache oration,Energy
AIV,Apartment Investment & Management,Real Estate
AAPL,Apple,Information Technology
AMAT,Applied Materials,Information Technology
APTV,Aptiv PLC,Consumer Discretionary
ADM,Archer-Daniels-Midland Co,Consumer Staples
ANET,Arista Networks,Information Technology
AJG,Arthur J. Gallagher & Co.,Financials
AIZ,Assurant,Financials
T,AT&T,Communication Services
ATO,Atmos Energy,Utilities
ADSK,Autodesk,Information Technology
ADP,Automatic Data Processing,Information Technology
AZO,AutoZone,Consumer Discretionary
AVB,AvalonBay Communities,Real Estate
AVY,Avery Dennison,Materials
BKR,Baker Hughes Co,Energy
BLL,Ball,Materials
BAC,Bank of America,Financials
BAX,Baxter International,Health Care
BDX,Becton Dickinson,Health Care
BRK.B,Berkshire Hathaway,Financials
BBY,Best Buy Co.,Consumer Discretionary
BIO,Bio-Rad Laboratories,Health Care
BIIB,Biogen,Health Care
BLK,BlackRock,Financials
BA,Boeing Company,Industrials
BKNG,Booking Holdings,Consumer Discretionary
BWA,BorgWarner,Consumer Discretionary
BXP,Boston Properties,Real Estate
BSX,Boston Scientific,Health Care
BMY,Bristol-Myers Squibb,Health Care
AVGO,Broadcom,Information Technology
BR,Broadridge Financial Solutions,Information Technology
BF.B,Brown-Forman .,Consumer Staples
CHRW,C. H. Robinson Worldwide,Industrials
COG,Cabot Oil & Gas,Energy
CDNS,Cadence Design Systems,Information Technology
CPB,Campbell Soup,Consumer Staples
COF,Capital One Financial,Financials
CAH,Cardinal Health,Health Care
KMX,Carmax,Consumer Discretionary
CCL,Carnival .,Consumer Discretionary
CARR,Carrier Global,Industrials
CAT,Caterpillar,Industrials
CBOE,Cboe Global Markets,Financials
CBRE,CBRE Group,Real Estate
CDW,CDW,Information Technology
CE,Celanese,Materials
CNC,Centene oration,Health Care
CNP,CenterPoint Energy,Utilities
CTL,CenturyLink,Communication Services
CERN,Cerner,Health Care
CF,CF Industries Holdings,Materials
SCHW,Charles Schwab oration,Financials
CHTR,Charter Communications,Communication Services
CVX,Chevron .,Energy
CMG,Chipotle Mexican Grill,Consumer Discretionary
CB,Chubb Limited,Financials
CHD,Church & Dwight,Consumer Staples
CI,CIGNA .,Health Care
CINF,Cincinnati Financial,Financials
CTAS,Cintas oration,Industrials
CSCO,Cisco Systems,Information Technology
C,Citigroup,Financials
CFG,Citizens Financial Group,Financials
CTXS,Citrix Systems,Information Technology
CME,CME Group,Financials
CMS,CMS Energy,Utilities
KO,Coca-Cola Company,Consumer Staples
CTSH,Cognizant Technology Solutions,Information Technology
CL,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast .,Communication Services
CMA,Comerica,Financials
CAG,Conagra Brands,Consumer Staples
CXO,Concho Resources,Energy
COP,ConocoPhillips,Energy
ED,Consolidated Edison,Utilities
STZ,Constellation Brands,Consumer Staples
CPRT,Copart,Industrials
GLW,Corning,Information Technology
CTVA,Corteva,Materials
COST,Costco Wholesale .,Consumer Staples
COTY,Coty,Consumer Staples
CCI,Crown Castle International .,Real Estate
CSX,CSX .,Industrials
CMI,Cummins,Industrials
CVS,CVS Health,Health Care
DHI,D. R. Horton,Consumer Discretionary
DHR,Danaher .,Health Care
DRI,Darden Restaurants,Consumer Discretionary
DVA,DaVita,Health Care
DE,Deere & Co.,Industrials
DAL,Delta Air Lines,Industrials
XRAY,Dentsply Sirona,Health Care
DVN,Devon Energy,Energy
DXCM,DexCom,Health Care
FANG,Diamondback Energy,Energy
DLR,Digital Realty Trust,Real Estate
DFS,Discover Financial Services,Financials
DISCA,Discovery,Communication Services
DISCK,Discovery,Communication Services
DISH,Dish Network,Communication Services
DG,Dollar General,Consumer Discretionary
DLTR,Dollar Tree,Consumer Discretionary
D,Dominion Energy,Utilities
DPZ,Domino's Pizza,Consumer Discretionary
DOV,Dover oration,Industrials
DOW,Dow,Materials
DTE,DTE Energy Co.,Utilities
DUK,Duke Energy,Utilities
DRE,Duke Realty,Real Estate
DD,DuPont de Nemours,Materials
DXC,DXC Technology,Information Technology
ETFC,E*Trade,Financials
EMN,Eastman Chemical,Materials
ETN,Eaton oration,Industrials
EBAY,eBay,Consumer Discretionary
ECL,Ecolab,Materials
EIX,Edison Int'l,Utilities
EW,Edwards Lifesciences,Health Care
EA,Electronic Arts,Communication Services
EMR,Emerson Electric Company,Industrials
ETR,Entergy .,Utilities
EOG,EOG Resources,Energy
EFX,Equifax,Industrials
EQIX,Equinix,Real Estate
EQR,Equity Residential,Real Estate
ESS,Essex Property Trust,Real Estate
EL,Estée Lauder,Consumer Staples
RE,Everest Re Group Ltd.,Financials
EVRG,Evergy,Utilities
ES,Eversource Energy,Utilities
EXC,Exelon .,Utilities
EXPE,Expedia Group,Consumer Discretionary
EXPD,Expeditors,Industrials
EXR,Extra Space Storage,Real Estate
XOM,Exxon Mobil .,Energy
FFIV,F5 Networks,Information Technology
FB,Facebook,Communication Services
FAST,Fastenal Co,Industrials
FRT,Federal Realty Investment Trust,Real Estate
FDX,FedEx oration,Industrials
FIS,Fidelity National Information Services,Information Technology
FITB,Fifth Third Bancorp,Financials
FRC,First Republic Bank,Financials
FE,FirstEnergy,Utilities
FISV,Fiserv,Information Technology
FLT,FleetCor Technologies,Information Technology
FLIR,FLIR Systems,Information Technology
FLS,Flowserve oration,Industrials
FMC,FMC oration,Materials
F,Ford Motor Company,Consumer Discretionary
FTNT,Fortinet,Information Technology
FTV,Fortive,Industrials
FBHS,Fortune Brands Home & Security,Industrials
FOXA,Fox oration (Class A),Communication Services
FOX,Fox oration (Class B),Communication Services
BEN,Franklin Resources,Financials
FCX,Freeport-McMoRan,Materials
GPS,Gap,Consumer Discretionary
GRMN,Garmin Ltd.,Consumer Discretionary
IT,Gartner,Information Technology
GD,General Dynamics,Industrials
GE,General Electric,Industrials
GIS,General Mills,Consumer Staples
GM,General Motors,Consumer Discretionary
GPC,Genuine Parts,Consumer Discretionary
GILD,Gilead Sciences,Health Care
GPN,Global Payments,Information Technology
GL,Globe Life,Financials
GS,Goldman Sachs Group,Financials
GWW,Grainger (W.W.),Industrials
HRB,H&R Block,Consumer Discretionary
HAL,Halliburton Co.,Energy
HBI,Hanesbrands,Consumer Discretionary
HIG,Hartford Financial Svc.Gp.,Financials
HAS,Hasbro,Consumer Discretionary
HCA,HCA Healthcare,Health Care
PEAK,Healthpeak Properties,Real Estate
HSIC,Henry Schein,Health Care
HES,Hess oration,Energy
HPE,Hewlett Packard Enterprise,Information Technology
HLT,Hilton Worldwide Holdings,Consumer Discretionary
HFC,HollyFrontier,Energy
HOLX,Hologic,Health Care
HD,Home Depot,Consumer Discretionary
HON,Honeywell Int'l,Industrials
HRL,Hormel Foods .,Consumer Staples
HST,Host Hotels & Resorts,Real Estate
HWM,Howmet Aerospace,Industrials
HPQ,HP,Information Technology
HUM,Humana,Health Care
HBAN,Huntington Bancshares,Financials
HII,Huntington Ingalls Industries,Industrials
IEX,IDEX oration,Industrials
IDXX,IDEXX Laboratories,Health Care
INFO,IHS Markit Ltd.,Industrials
ITW,Illinois Tool Works,Industrials
ILMN,Illumina,Health Care
INCY,yte,Health Care
IR,Ingersoll Rand,Industrials
INTC,Intel .,Information Technology
ICE,Intercontinental Exchange,Financials
IBM,International Business Machines,Information Technology
IFF,International Flavors & Fragrances,Materials
IP,International Paper,Materials
IPG,Interpublic Group,Communication Services
INTU,Intuit,Information Technology
ISRG,Intuitive Surgical,Health Care
IVZ,Invesco Ltd.,Financials
IPGP,IPG Photonics .,Information Technology
IQV,IQVIA Holdings,Health Care
IRM,Iron Mountain orporated,Real Estate
JBHT,J. B. Hunt Transport Services,Industrials
JKHY,Jack Henry & Associates,Information Technology
J,Jacobs Engineering Group,Industrials
SJM,JM Smucker,Consumer Staples
JNJ,Johnson & Johnson,Health Care
JCI,Johnson Controls International,Industrials
JPM,JPMorgan Chase & Co.,Financials
JNPR,Juniper Networks,Information Technology
KSU,Kansas City Southern,Industrials
K,Kellogg Co.,Consumer Staples
KEY,Key,Financials
KEYS,Keysight Technologies,Information Technology
KMB,Kimberly-Clark,Consumer Staples
KIM,Kimco Realty,Real Estate
KMI,Kinder Morgan,Energy
KLAC,KLA oration,Information Technology
KSS,Kohl's .,Consumer Discretionary
KHC,Kraft Heinz Co,Consumer Staples
KR,Kroger Co.,Consumer Staples
LB,L Brands,Consumer Discretionary
LHX,L3Harris Technologies,Industrials
LH,Laboratory . of America Holding,Health Care
LRCX,Lam Research,Information Technology
LW,Lamb Weston Holdings,Consumer Staples
LVS,Las Vegas Sands,Consumer Discretionary
LEG,Leggett & Platt,Consumer Discretionary
LDOS,Leidos Holdings,Information Technology
LEN,Lennar .,Consumer Discretionary
LLY,Lilly (Eli) & Co.,Health Care
LNC,Lincoln National,Financials
LIN,Linde plc,Materials
LYV,Live Nation Entertainment,Communication Services
LKQ,LKQ oration,Consumer Discretionary
LMT,Lockheed Martin .,Industrials
L,Loews .,Financials
LOW,Lowe's Cos.,Consumer Discretionary
LYB,LyondellBasell,Materials
MTB,M&T Bank .,Financials
MRO,Marathon Oil .,Energy
MPC,Marathon Petroleum,Energy
MKTX,MarketAxess,Financials
MAR,Marriott Int'l.,Consumer Discretionary
MMC,Marsh & McLennan,Financials
MLM,Martin Marietta Materials,Materials
MAS,Masco .,Industrials
MA,Mastercard,Information Technology
MXIM,Maxim Integrated Products,Information Technology
MKC,McCormick & Co.,Consumer Staples
MCD,McDonald's .,Consumer Discretionary
MCK,McKesson .,Health Care
MDT,Medtronic plc,Health Care
MRK,Merck & Co.,Health Care
MET,MetLife,Financials
MTD,Mettler Toledo,Health Care
MGM,MGM Resorts International,Consumer Discretionary
MCHP,Microchip Technology,Information Technology
MU,Micron Technology,Information Technology
MSFT,Microsoft .,Information Technology
MAA,Mid-America Apartments,Real Estate
MHK,Mohawk Industries,Consumer Discretionary
TAP,Molson Coors Beverage Company,Consumer Staples
MDLZ,Mondelez International,Consumer Staples
MNST,Monster Beverage,Consumer Staples
MCO,Moody's,Financials
MS,Morgan Stanley,Financials
MSI,Motorola Solutions,Information Technology
MSCI,MSCI,Financials
MYL,Mylan N.V.,Health Care
NDAQ,Nasdaq,Financials
NOV,National Oilwell Varco,Energy
NTAP,NetApp,Information Technology
NFLX,Netflix,Communication Services
NWL,Newell Brands,Consumer Discretionary
NEM,Newmont oration,Materials
NWSA,News . Class A,Communication Services
NWS,News . Class B,Communication Services
NEE,NextEra Energy,Utilities
NLSN,Nielsen Holdings,Industrials
NKE,Nike,Consumer Discretionary
NI,NiSource,Utilities
NBL,Noble Energy,Energy
NSC,Norfolk Southern .,Industrials
NTRS,Northern Trust .,Financials
NOC,Northrop Grumman,Industrials
NLOK,NortonLifeLock,Information Technology
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
NRG,NRG Energy,Utilities
NUE,Nucor .,Materials
NVDA,Nvidia oration,Information Technology
NVR,NVR,Consumer Discretionary
ORLY,O'Reilly Automotive,Consumer Discretionary
OXY,Occidental Petroleum,Energy
ODFL,Old Dominion Freight Line,Industrials
OMC,Omnicom Group,Communication Services
OKE,ONEOK,Energy
ORCL,Oracle .,Information Technology
OTIS,Otis Worldwide,Industrials
PCAR,PACCAR,Industrials
PKG,Packaging oration of America,Materials
PH,Parker-Hannifin,Industrials
PAYX,Paychex,Information Technology
PAYC,Paycom,Information Technology
PYPL,PayPal,Information Technology
PNR,Pentair plc,Industrials
PBCT,People's United Financial,Financials
PEP,PepsiCo,Consumer Staples
PKI,PerkinElmer,Health Care
PRGO,Perrigo,Health Care
PFE,Pfizer,Health Care
PM,Philip Morris International,Consumer Staples
PSX,Phillips 66,Energy
PNW,Pinnacle West Capital,Utilities
PXD,Pioneer Natural Resources,Energy
PNC,PNC Financial Services,Financials
PPG,PPG Industries,Materials
PPL,PPL .,Utilities
PFG,Principal Financial Group,Financials
PG,Procter & Gamble,Consumer Staples
PGR,Progressive .,Financials
PLD,Prologis,Real Estate
PRU,Prudential Financial,Financials
PEG,Public Service Enterprise Group (PSEG),Utilities
PSA,Public Storage,Real Estate
PHM,PulteGroup,Consumer Discretionary
PVH,PVH .,Consumer Discretionary
QRVO,Qorvo,Information Technology
QCOM,QUALCOMM,Information Technology
PWR,Quanta Services,Industrials
DGX,Quest Diagnostics,Health Care
RL,Ralph Lauren oration,Consumer Discretionary
RJF,Raymond James Financial,Financials
RTX,Raytheon Technologies,Industrials
O,Realty ome oration,Real Estate
REG,Regency Centers oration,Real Estate
REGN,Regeneron Pharmaceuticals,Health Care
RF,Regions Financial .,Financials
RSG,Republic Services,Industrials
RMD,ResMed,Health Care
RHI,Robert Half International,Industrials
ROK,Rockwell Automation,Industrials
ROL,Rollins,Industrials
ROP,Roper Technologies,Industrials
ROST,Ross Stores,Consumer Discretionary
RCL,Royal Caribbean Group,Consumer Discretionary
SPGI,S&P Global,Financials
CRM,Salesforce,Information Technology
SBAC,SBA Communications,Real Estate
SLB,Schlumberger Ltd.,Energy
STX,Seagate Technology,Information Technology
SEE,Sealed Air,Materials
SRE,Sempra Energy,Utilities
NOW,ServiceNow,Information Technology
SHW,Sherwin-Williams,Materials
SPG,Simon Property Group,Real Estate
SWKS,Skyworks Solutions,Information Technology
SLG,SL Green Realty,Real Estate
SNA,Snap-on,Industrials
SO,Southern Company,Utilities
LUV,Southwest Airlines,Industrials
SWK,Stanley Black & Decker,Industrials
SBUX,Starbucks .,Consumer Discretionary
STT,State Street .,Financials
STE,STERIS plc,Health Care
SYK,Stryker .,Health Care
SIVB,SVB Financial,Financials
SYF,Synchrony Financial,Financials
SNPS,Synopsys,Information Technology
SYY,Sysco .,Consumer Staples
TMUS,T-Mobile US,Communication Services
TROW,T. Rowe Price Group,Financials
TTWO,Take-Two Interactive,Communication Services
TPR,Tapestry,Consumer Discretionary
TGT,Target .,Consumer Discretionary
TEL,TE Connectivity Ltd.,Information Technology
FTI,TechnipFMC,Energy
TDY,Teledyne Technologies,Industrials
TFX,Teleflex,Health Care
TXN,Texas Instruments,Information Technology
TXT,Textron,Industrials
BK,The Bank of New York Mellon,Financials
CLX,The Clorox Company,Consumer Staples
COO,The Cooper,Health Care
HSY,The Hershey Company,Consumer Staples
MOS,The Mosaic Company,Materials
TRV,The Travelers ,Financials
DIS,The Walt Disney Company,Communication Services
TMO,Thermo Fisher Scientific,Health Care
TIF,Tiffany & Co.,Consumer Discretionary
TJX,TJX ,Consumer Discretionary
TSCO,Tractor Supply Company,Consumer Discretionary
TT,Trane Technologies plc,Industrials
TDG,TransDigm Group,Industrials
TFC,Truist Financial,Financials
TWTR,Twitter,Communication Services
TYL,Tyler Technologies,Information Technology
TSN,Tyson Foods,Consumer Staples
USB,U.S. Bancorp,Financials
UDR,UDR,Real Estate
ULTA,Ulta Beauty,Consumer Discretionary
UAA,Under Armour (Class A),Consumer Discretionary
UA,Under Armour (Class C),Consumer Discretionary
UNP,Union Pacific,Industrials
UAL,United Airlines Holdings,Industrials
UNH,United Health Group,Health Care
UPS,United Parcel Service,Industrials
URI,United Rentals,Industrials
UHS,Universal Health Services,Health Care
UNM,Unum Group,Financials
VLO,Valero Energy,Energy
VAR,Varian Medical Systems,Health Care
VTR,Ventas,Real Estate
VRSN,Verisign,Information Technology
VRSK,Verisk Analytics,Industrials
VZ,Verizon Communications,Communication Services
VRTX,Vertex Pharmaceuticals,Health Care
VFC,VF oration,Consumer Discretionary
VIAC,ViacomCBS,Communication Services
V,Visa,Information Technology
VNO,Vornado Realty Trust,Real Estate
VMC,Vulcan Materials,Materials
WRB,W. R. Berkley oration,Financials
WAB,Wabtec oration,Industrials
WBA,Walgreens Boots Alliance,Consumer Staples
WMT,Walmart,Consumer Staples
WM,Waste Management,Industrials
WAT,Waters oration,Health Care
WEC,WEC Energy Group,Utilities
WFC,Wells Fargo,Financials
WELL,Welltower,Real Estate
WST,West Pharmaceutical Services,Health Care
WDC,Western Digital,Information Technology
WU,Western Union Co,Information Technology
WRK,WestRock,Materials
WY,Weyerhaeuser,Real Estate
WHR,Whirlpool .,Consumer Discretionary
WMB,Williams,Energy
WLTW,Willis Towers Watson,Financials
WYNN,Wynn Resorts Ltd,Consumer Discretionary
XEL,Xcel Energy,Utilities
XRX,Xerox,Information Technology
XLNX,Xilinx,Information Technology
XYL,Xylem,Industrials
YUM,Yum! Brands,Consumer Discretionary
ZBRA,Zebra Technologies,Information Technology
ZBH,Zimmer Biomet Holdings,Health Care
ZION,Zions Bancorp,Financials
ZTS,Zoetis,Health Care
